sentence,emotion
feel horrible feel horrible made worse fact not gotten not lookout,1
would hate bit imagine secretary feeling irritable day eh,1
feel unhappy,1
feel like take time care flowers wonderfully loyal hive,0
remember feeling amazed,0
know never see place would break heart not thick layer moss encased thick shell ruffling sharper feelings pleasant painful,0
careless mid bottom law school graduate finds marginal attached wash sea overeducated underpaid indentured peers feel dumped promise better life debt modern chemistry,0
truly feel contribute blow world especially regard education writers valuable,0
feel like would clever get nothing time,0
know right feel energetic awake patient happy running daily still feel little bad believe breast milk much better babies formula,0
quickly trotted added feel embarrassed ask hoping would enter kind conversation,1
hated got drunk whole next day spent sleeping feeling foggy,1
love discussions note class feel passionate feminist issues go write feels though taking,0
would want welcome home end feeling mommyhood threatened inability breasted baby,1
feel agitated result not pleasant opposite calm peaceful,1
feel honored students come classes,0
often tell hi want attention hi especially feel horny want good sex hours,0
get anxious feeling feel box so still real thing already need lawless,0
feel rich blessed joyful,0
horrible anxiety dreams every night last week made feel really paranoid course reading conspiracy theories unsolved crimes online not huge help matters,1
truly feel somehow not enough hate hi get mad,1
remember feeling uncertain young especially became teenager,1
feel not get far enough away needs melancholy long enough would either die,1
want enter defiance coming different culture feel offended not allowed,1
feeling rebellious ate,1
feel agitated restless edge quite often,1
feel uncomfortable using word awesome idea actually,1
feeling rather pleased tonight,0
feel like leads not gentle kind,0
feel like actively hated every single second rather borne,1
feeling indecision scars,1
feel violent tug eye socket,1
feel carefree nowwwwww,0
believe displayed deep emotional yearning semblance formality peace since appears dancing arabs not feel threatened fully armed soldier,1
left feeling discouraged hopeless,1
feel going get mess get fixed back note road,1
feel frustrated not easier days remember blessing research learning trial error hard success patience far better garden note long run,1
sick cold amp not feeling well wondering would even able patience go whites month photo shoot,0
tempted feel little bitter saw,1
feel kind insecure anyway back dora,1
grateful no longer feel frantic urge fix emotional upset around,1
feel strange grew,0
feel quite strongly students punished due well badly failed compared completely unrelated group people,1
want job permanent feel like valued,0
care someone emotional spiritual intellectual progress point feel like exert progress important love,0
actually feel comfortable speaking others japanese feel pretty happy current progress,0
learned different things like family plan note arrangements even real pain feel loved one passes,0
feel least dating would not vain,1
like keeping record life written form pictures feel like even important baby,0
not feel unhappy miserable wretched glum gloomy forlorn heartbroken,1
really feeling horribly irritable little bit depressed,1
feel honoured part series join wonderful talented ladies celebration womanhood,0
feel confident team right four hours ago,0
simply said sorry got car got house feeling restless,1
feeling bit paranoid like really noticeable everyone see,1
